id,NomeBloco,Participante,Ordem,Tentativa,Modelo,SupDir,InfEsq,InfDir,Reforco,Correta,Escolheu,Acertou,RespVerb,Dia,Horario,Sessao,Corretas,Porcentagem,Procedimento
"(1, 'Cond1_01- Treino CA 100', 'mauricioamm', '1', 'B1A1', '/static/MtsApp/img/B1.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/A1.jpg', '1', '4', '4', '1', '', '2021-09-03', '14:52:37', '', '1', '4', '1')"
"(2, '', 'mauricioamm', '2', 'B2A2', '/static/MtsApp/img/B2.jpg', '/static/MtsApp/img/A2.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/vazio.jpg', '1', '2', '2', '1', '', '2021-09-03', '14:52:50', '', '2', '9', '1')"
"(3, '', 'mauricioamm', '3', 'B3A3', '/static/MtsApp/img/B3.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/A3.jpg', '1', '4', '4', '1', '', '2021-09-03', '14:52:54', '', '3', '14', '1')"
"(4, '', 'mauricioamm', '4', 'B1A1', '/static/MtsApp/img/B1.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/A2.jpg', '1', '3', '3', '1', '', '2021-09-03', '14:52:57', '', '4', '19', '1')"
"(5, '', 'mauricioamm', '5', 'B1A1', '/static/MtsApp/img/B1.jpg', '/static/MtsApp/img/A2.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/A3.jpg', '1', '1', '1', '1', '', '2021-09-03', '14:52:59', '', '5', '23', '1')"
"(6, '', 'mauricioamm', '6', 'B1A1', '/static/MtsApp/img/B1.jpg', '/static/MtsApp/img/A3.jpg', '/static/MtsApp/img/A2.jpg', '/static/MtsApp/img/A1.jpg', '1', '4', '2', '0', '', '2021-09-03', '14:53:02', '', '5', '23', '1')"
"(7, '', 'mauricioamm', '7', 'B2A2', '/static/MtsApp/img/B2.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/A3.jpg', '/static/MtsApp/img/vazio.jpg', '1', '1', '1', '1', '', '2021-09-03', '14:53:05', '', '6', '28', '1')"
"(8, '', 'mauricioamm', '8', 'B2A2', '/static/MtsApp/img/B2.jpg', '/static/MtsApp/img/A2.jpg', '/static/MtsApp/img/A3.jpg', '/static/MtsApp/img/A1.jpg', '1', '2', '2', '1', '', '2021-09-03', '14:53:09', '', '7', '33', '1')"
"(9, '', 'mauricioamm', '9', 'B2A2', '/static/MtsApp/img/B2.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/A3.jpg', '1', '1', '1', '1', '', '2021-09-03', '14:53:15', '', '8', '38', '1')"
"(10, '', 'mauricioamm', '10', 'B3A3', '/static/MtsApp/img/B3.jpg', '/static/MtsApp/img/A3.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/A2.jpg', '1', '2', '2', '1', '', '2021-09-03', '14:53:18', '', '9', '42', '1')"
"(11, '', 'mauricioamm', '11', 'B3A3', '/static/MtsApp/img/B3.jpg', '/static/MtsApp/img/A2.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/A3.jpg', '1', '4', '4', '1', '', '2021-09-03', '14:53:22', '', '10', '47', '1')"
"(12, '', 'mauricioamm', '12', 'B3A3', '/static/MtsApp/img/B3.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/A3.jpg', '/static/MtsApp/img/vazio.jpg', '1', '3', '3', '1', '', '2021-09-03', '14:53:24', '', '11', '52', '1')"
"(13, '', 'mauricioamm', '13', 'B1A1', '/static/MtsApp/img/B1.jpg', '/static/MtsApp/img/A3.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/A2.jpg', '1', '1', '1', '1', '', '2021-09-03', '14:53:27', '', '12', '57', '1')"
"(14, '', 'mauricioamm', '14', 'B3A3', '/static/MtsApp/img/B3.jpg', '/static/MtsApp/img/vazio.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/A3.jpg', '1', '4', '4', '1', '', '2021-09-03', '14:53:30', '', '13', '61', '1')"
"(15, '', 'mauricioamm', '15', 'B2A2', '/static/MtsApp/img/B2.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/A2.jpg', '/static/MtsApp/img/vazio.jpg', '1', '3', '3', '1', '', '2021-09-03', '14:53:34', '', '14', '66', '1')"
"(16, '', 'mauricioamm', '16', 'B1A1', '/static/MtsApp/img/B1.jpg', '/static/MtsApp/img/A2.jpg', '/static/MtsApp/img/A1.jpg', '/static/MtsApp/img/vazio.jpg', '1', '3', '3', '1', '', '2021-09-03', '14:53:37', '', '15', '71', '1')"
