Ordem;Tentativa;Acertos;Erros;porcent
1;B1A1;1;3;0
2;B2A2;1;3;0
3;B3A3;1;3;0
4;C1A1;0;0;0
5;C2A2;0;0;0
6;C3A3;0;0;0
7;D1A1;0;0;0
8;D2A2;0;0;0
9;D3A3;0;0;0
10;E1A1;0;0;0
11;E2A2;0;0;0
12;E3A3;0;0;0
13;F1A1;0;0;0
14;F2A2;0;0;0
15;F3A3;0;0;0
16;A1B1;0;0;0
17;A2B2;0;0;0
18;A3B3;0;0;0
19;A1C1;0;0;0
20;A2C2;0;0;0
21;A3C3;0;0;0
22;A1D1;0;0;0
23;A2D2;0;0;0
24;A3D3;0;0;0
25;A1E1;0;0;0
26;A2E2;0;0;0
27;A3E3;0;0;0
28;A1F1;0;0;0
29;A2F2;0;0;0
30;A3F3;0;0;0
31;B1C1;0;0;0
32;B2C2;0;0;0
33;B2C2;0;0;0
34;C1B1;0;0;0
35;C2B2;0;0;0
36;C3B3;0;0;0
37;B1D1;0;0;0
38;B2D2;0;0;0
39;B3D3;0;0;0
40;D1B1;0;0;0
41;D2B2;0;0;0
42;D3B3;0;0;0
43;C1D1;0;0;0
44;C2D2;0;0;0
45;C3D3;0;0;0
46;D1C1;0;0;0
47;D2C2;0;0;0
48;D3C3;0;0;0
49;B1E1;0;0;0
50;B2E2;0;0;0
51;B3E3;0;0;0
52;E1B1;0;0;0
53;E2B2;0;0;0
54;E3B3;0;0;0
55;C1E1;0;0;0
56;C2E2;0;0;0
57;C3E3;0;0;0
58;E1C1;0;0;0
59;E2C2;0;0;0
60;E3C3;0;0;0
61;D1E1;0;0;0
62;D2E2;0;0;0
63;D3E3;0;0;0
64;E1D1;0;0;0
65;E2D2;0;0;0
66;E3D3;0;0;0
67;B1F1;0;0;0
68;B2F2;0;0;0
69;B3F3;0;0;0
70;F1B1;0;0;0
71;F2B2;0;0;0
72;F3B3;0;0;0
73;C1F1;0;0;0
74;C2F2;0;0;0
75;C3F3;0;0;0
76;F1C1;0;0;0
77;F2C2;0;0;0
78;F3C3;0;0;0
79;D1F1;0;0;0
80;D2F2;0;0;0
81;D3F3;0;0;0
82;F1D1;0;0;0
83;F2D2;0;0;0
84;F3D3;0;0;0
85;E1F1;0;0;0
86;E2F2;0;0;0
87;E3F3;0;0;0
88;F1E1;0;0;0
89;F2E2;0;0;0
90;F3E3;0;0;0
